frequency_cycles_per_pixel,median_pair_fog_to_archive_ratio,q25_pair_fog_to_archive_ratio,q75_pair_fog_to_archive_ratio,mean_fog_power,mean_archive_power,mean_power_fog_to_archive_ratio
0.09114583333333333,0.013930811651421958,0.0074114090452473014,0.03557364731457579,102.31427242079604,4264.9397610329215,0.023989617240459372
0.09635416666666666,0.012762948091534292,0.006664590968317709,0.032294437525709985,87.05726137302914,4122.5341956498,0.021117414008328693
0.1015625,0.011899879283769843,0.006332924395534577,0.02978990470322846,71.41541999562027,3646.1878357715627,0.019586325009092187
0.10677083333333333,0.010722426820579112,0.005638811348850047,0.027856732436278224,56.61521543893175,3072.088158336357,0.018428903247877777
0.11197916666666666,0.010250930583124112,0.0052685262175215805,0.025055659319479184,49.308833193122275,2868.423756037845,0.017190219223826464
0.1171875,0.009393522905189515,0.005003531482529897,0.023172671889606495,39.07691641707072,2550.1133958229525,0.015323599523487122
0.12239583333333333,0.008961304786586778,0.004547486257673651,0.02132490269462521,30.182706668320748,2121.6867353557786,0.014225807309512877
0.12760416666666666,0.007912855806204704,0.004052840504705951,0.019459151220207353,26.120631641495788,2052.0789425555167,0.012728862959320155
0.1328125,0.007243986800129608,0.003984573634959299,0.01802075012195041,21.465333578404344,1810.8879965477788,0.011853484930777163
0.13802083333333331,0.0071080384859098615,0.003692985016683602,0.017718976888171187,17.449821569524104,1542.0179067000588,0.01131622498915527
0.14322916666666666,0.006283824243268364,0.003456041298316904,0.014747013714272377,17.89321997710896,1508.6612475581599,0.011860329816299045
0.1484375,0.005908206539172787,0.0032533772430872023,0.013333855855642502,13.178223897723468,1338.1177118097942,0.009848329322164055
0.15364583333333331,0.005673759576376958,0.0030173619684014798,0.012236627680856378,9.593496422603861,1106.074551265775,0.008673462753143728
0.15885416666666666,0.005324959402090462,0.002646427510903131,0.012022051014069826,8.560291703565701,1080.070247855904,0.007925680501392498
0.1640625,0.004906308529261693,0.002598166669343055,0.010699087366607712,7.479189379645564,984.9274775602779,0.0075936447607005
0.16927083333333331,0.004753973090299075,0.0025635647000089253,0.009732275447823116,6.043404565315873,885.2771523223496,0.006826567871386035
0.17447916666666666,0.004706178488829989,0.0026035933390270564,0.009326682363670121,5.6535552081136835,886.8940964618724,0.006374555012450384
0.1796875,0.004074990644199208,0.0022158745278300046,0.008752609790835525,4.61337806820344,801.9900256957307,0.005752413272473445
0.18489583333333331,0.0038010961534492163,0.002096853812429955,0.008006979583892081,3.598876438046427,694.1214260013884,0.00518479375975815
0.19010416666666666,0.003562460628494604,0.0019835123768662116,0.007269635939272103,2.978663076496389,678.006905906697,0.00439326362393467
0.1953125,0.003495120366765564,0.0019282095509958203,0.007093521007368708,2.5401465477698375,634.9328547417075,0.004000653815281265
0.20052083333333331,0.00340945626013024,0.001881278328203799,0.006948763462525399,2.0211358599154594,550.4685102532392,0.003671664813279964
0.20572916666666666,0.0032336582591441488,0.0017854581194357744,0.006275586945438422,1.8684805429300166,521.9446587826777,0.0035798441683220607
0.2109375,0.003094315431003249,0.0016896731265370005,0.006212840169611131,1.644862527679986,483.3253369530637,0.0034032201540465084
0.21614583333333331,0.003073091489878177,0.001669868801923839,0.0064597554843805055,1.3627170441828074,430.701485604369,0.003163947861174928
0.22135416666666666,0.0030199823750519305,0.0016376372356004922,0.006047028808726858,1.2698940897707107,418.09888613570445,0.0030373056037239356
0.2265625,0.0030047186404556043,0.001577822027071771,0.005805204364568051,1.0816371136557967,396.84043837754666,0.00272562221248921
0.23177083333333331,0.002984551611551225,0.0015500740463470096,0.006114438828679119,0.8920598841218174,349.4990324083335,0.0025523958620852164
0.23697916666666666,0.002900242965434059,0.001524634528636677,0.0058201527892522585,0.8607356734234217,337.70126520953255,0.002548807961644335
0.2421875,0.0028829021645421947,0.001551926178642593,0.0056103423665725734,0.7588188786219995,322.84406572524136,0.0023504191626300404
0.24739583333333331,0.0029349883726093977,0.0015745931267113935,0.005885843105242721,0.6584398881843277,296.4206327934031,0.002221302484848421
0.25260416666666663,0.0028933808847458426,0.0014852595392482917,0.005684429309242805,0.6357847776416387,282.56320916926046,0.0022500621348081878
0.2578125,0.0028656212561765674,0.001434609463701969,0.005790922974717665,0.5817403285921323,266.7869319534426,0.0021805428186926815
0.2630208333333333,0.0028888269900849244,0.0014732955668900838,0.005645494243512066,0.4986898278421238,238.23571715988024,0.0020932622269542083
0.26822916666666663,0.0028625482138455623,0.001473221400256846,0.005552708539279482,0.4957073116666264,234.84690634040473,0.002110767901486047
0.2734375,0.002867312228150673,0.001459330551291783,0.005632941743056346,0.4466287367350118,224.12084418029497,0.001992803205647929
0.2786458333333333,0.002770777714857442,0.0014342011659734906,0.005508128967693685,0.39356429909015195,204.11008034464857,0.001928196287148591
0.28385416666666663,0.002767600101358678,0.001402094253415152,0.0057091790700256285,0.38662386571152246,208.45993458994707,0.0018546674998820964
0.2890625,0.002785466212073238,0.001341317432484369,0.005590960542350696,0.3476581486113303,205.70626610048737,0.0016900707751969966
0.2942708333333333,0.002698505350927012,0.0013477270012552964,0.005770630129916813,0.2996960975500643,184.8966862986066,0.001620884092352297
