split,category,stem,fog_path,archive_path,low_band_ratio_0p01_0p05,high_band_ratio_0p15_0p24
test,dishes,image0590,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0590.jpeg,archive_gt_matched/dishes/image0590.jpeg,0.004530646532719318,0.013302431480892475
test,dishes,image0600,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0600.jpeg,archive_gt_matched/dishes/image0600.jpeg,0.005269482773273179,0.012577321241644474
test,dishes,image0610,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0610.jpeg,archive_gt_matched/dishes/image0610.jpeg,0.006838308195265291,0.001264058117157828
test,dishes,image0620,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0620.jpeg,archive_gt_matched/dishes/image0620.jpeg,0.007993692280508093,0.0005607016320209577
test,dishes,image0630,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0630.jpeg,archive_gt_matched/dishes/image0630.jpeg,0.010504915653021142,0.007497709065416735
test,dishes,image0640,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0640.jpeg,archive_gt_matched/dishes/image0640.jpeg,0.01776222116018683,0.0063026751415665196
test,dishes,image0650,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0650.jpeg,archive_gt_matched/dishes/image0650.jpeg,0.010184553134057469,0.0009566758082010925
test,dishes,image0660,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0660.jpeg,archive_gt_matched/dishes/image0660.jpeg,0.017488560460018104,0.0029094919130172817
test,dishes,image0671,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0671.jpeg,archive_gt_matched/dishes/image0671.jpeg,0.013401380978777997,0.002015264238679612
test,dishes,image0681,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0681.jpeg,archive_gt_matched/dishes/image0681.jpeg,0.020553255676020298,0.002150936953536439
test,dishes,image0691,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0691.jpeg,archive_gt_matched/dishes/image0691.jpeg,0.01535643917078908,0.002826703550633839
test,dishes,image0701,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0701.jpeg,archive_gt_matched/dishes/image0701.jpeg,0.012227139533934218,0.0008772410055848845
test,dishes,image0711,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0711.jpeg,archive_gt_matched/dishes/image0711.jpeg,0.022801357156876655,0.0013360867005148096
test,dishes,image0721,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0721.jpeg,archive_gt_matched/dishes/image0721.jpeg,0.0437024576535302,0.004159519605919196
test,dishes,image0731,VerticalFilter_MediumFog_Redo_3-21-26_aligned/dishes/image0731.png,archive_gt_matched/dishes/image0731.png,0.05417356982171275,0.001783664881919518
